codigo_da_postagem,nome_portal,texto_da_postagem,texto_do_comentario,sentimento
24,@g1,blog da camila bomfim a pec da blindagem aprovada na câmara dos deputados e pendente de análise no senado pode criar um escudo mais amplo do que se imagina se aprovado de forma definitiva o mecanismo não ficaria restrito a deputados e senadores mas se estenderia a,por isso deve ser abortada definitivamente pela justiça sem isso é o que vamos ter e aí entreguem a chave do cofre para oa bandidos,POSITIVO
24,@g1,blog da camila bomfim a pec da blindagem aprovada na câmara dos deputados e pendente de análise no senado pode criar um escudo mais amplo do que se imagina se aprovado de forma definitiva o mecanismo não ficaria restrito a deputados e senadores mas se estenderia a,anistia já chega de injustiça,NEGATIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,cobre o a culpa e dele e a responsabilidade de resolver a questão também,NEGATIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,peçam emprego ao eduardo bolsonaro o articulador do tarifaço,NEUTRO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,cobra dos partidos que apoiaram o eduardinho eles tem bastante dinheiro podem ressarcir todo mundo,NEUTRO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,claro a empreja ja acumulava 18 milhões de divida mas foi 1 mês de tarifaço que reduziu as vendas para os us em 20 que fez ela fechar kkkkk matéria ridícula e tendenciosa,NEGATIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,votem na família do bolsonaro que tudo se resolve empresa faliu muito rápido né,POSITIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,agradeçam o bolsonarinho que foi la no ouvido do trumpi chorar,NEGATIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,vem mais por aí,NEGATIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,infelizmente temos o fracasso de um governo que usa retórica em vez de negociar com os americanos e vai piorar mais,NEGATIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,olha aí o eduardo bolsonaro sacrificou o seu emprego para livrar a cara do pai dele de acordo com ele o seu sacrifício é necessário,NEGATIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,se ela perguntasse ao patrão o que aconteceu ele diria algo do tipo estávamos enfrentando concorrência desleal da china que tem inundado o país com calçados de má qualidade e barato agora com a tarifa dos e u a e sem o interesse de lula em negociar só resta fechar,POSITIVO
25,@g1,não caiu a ficha diz funcionária que trabalhava há 15 anos em calçadista do rs que anunciou falência após tarifaço dos eua glo bo 3vxpyq8 g1,faz o l reclama com o painho,NEGATIVO
26,@g1,veja os destaques do g1em1minuto desta quarta feira 17 de setembro g1,anistia já chega de injustiça,NEGATIVO
27,@g1,venezuela inicia exercícios militares em ilha do caribe em meio a tensões com os eua glo bo 4ntuioi g1,tanto lula como maduro estão afrontando o eua depois não adianta culpar ninguém quase o mesmo discurso é um indicador de que sim estão em parceria são do mesmo grupo do foro de são paulo,POSITIVO
27,@g1,venezuela inicia exercícios militares em ilha do caribe em meio a tensões com os eua glo bo 4ntuioi g1,anistia já chega de injustiça,NEGATIVO
27,@g1,venezuela inicia exercícios militares em ilha do caribe em meio a tensões com os eua glo bo 4ntuioi g1,com estilingue ou arco e flecha,NEUTRO
27,@g1,venezuela inicia exercícios militares em ilha do caribe em meio a tensões com os eua glo bo 4ntuioi g1,cadê os pilantras do mst e da usp para protege lo,POSITIVO
28,@g1,pec da blindagem ainda precisa passar pelo senado mas não por sanção de lula veja o caminho glo bo 4n29dgk g1,anistia já chega de injustiça,NEGATIVO
28,@g1,pec da blindagem ainda precisa passar pelo senado mas não por sanção de lula veja o caminho glo bo 4n29dgk g1,deveria passar pela população isso sim,POSITIVO
28,@g1,pec da blindagem ainda precisa passar pelo senado mas não por sanção de lula veja o caminho glo bo 4n29dgk g1,pec da bandidagem é um estupro aos brasileiros honestos,NEGATIVO
28,@g1,pec da blindagem ainda precisa passar pelo senado mas não por sanção de lula veja o caminho glo bo 4n29dgk g1,pec da bandidagem,NEUTRO
28,@g1,pec da blindagem ainda precisa passar pelo senado mas não por sanção de lula veja o caminho glo bo 4n29dgk g1,deputados são a vergonha nacional,NEGATIVO
28,@g1,pec da blindagem ainda precisa passar pelo senado mas não por sanção de lula veja o caminho glo bo 4n29dgk g1,aumento de numero de deputado ok acabar com a lei da ficha limpa ok lei que deixa politico roubar matar estuprar traficar ok zerar imposto de renda não escala 6x1 não vamos comemorar os deputados bolsonaristas estão vencendo o pt bando de ratos de esgoto,POSITIVO
28,@g1,pec da blindagem ainda precisa passar pelo senado mas não por sanção de lula veja o caminho glo bo 4n29dgk g1,ainda bem que temos o stf para barrar essa putaria se necessário,POSITIVO
29,@g1,blog da andréia sadi a aprovação da pec que aumenta a blindagem de parlamentares na câmara dos deputados e a articulação por uma anistia para os golpistas do 8 de janeiro têm um objetivo central que une o centrão e os bolsonaristas a eleição de 2026 mas nos bastidores os,congresso inimigo do povo,NEGATIVO
29,@g1,blog da andréia sadi a aprovação da pec que aumenta a blindagem de parlamentares na câmara dos deputados e a articulação por uma anistia para os golpistas do 8 de janeiro têm um objetivo central que une o centrão e os bolsonaristas a eleição de 2026 mas nos bastidores os,o choro é livre né quando o st7 cobra parlamentar nada né,POSITIVO
29,@g1,blog da andréia sadi a aprovação da pec que aumenta a blindagem de parlamentares na câmara dos deputados e a articulação por uma anistia para os golpistas do 8 de janeiro têm um objetivo central que une o centrão e os bolsonaristas a eleição de 2026 mas nos bastidores os,andreia na boa esse amargor é falta de comida ou muita grana envolvida,POSITIVO
29,@g1,blog da andréia sadi a aprovação da pec que aumenta a blindagem de parlamentares na câmara dos deputados e a articulação por uma anistia para os golpistas do 8 de janeiro têm um objetivo central que une o centrão e os bolsonaristas a eleição de 2026 mas nos bastidores os,centrão pode desistir o povo acordou,NEUTRO
29,@g1,blog da andréia sadi a aprovação da pec que aumenta a blindagem de parlamentares na câmara dos deputados e a articulação por uma anistia para os golpistas do 8 de janeiro têm um objetivo central que une o centrão e os bolsonaristas a eleição de 2026 mas nos bastidores os,congresso nacional hoje tem um partido pcc partido do comando do congresso imprimi a lista dos nomes dos deputados cearenses e como votaram para não esquecer esses nomes,NEGATIVO
30,@g1,uso de spray de pimenta pela pm em cortejo fúnebre gera revolta em mg glo bo 3vscbtp g1,anistia já chega de injustiça,NEGATIVO
30,@g1,uso de spray de pimenta pela pm em cortejo fúnebre gera revolta em mg glo bo 3vscbtp g1,cortejo fúnebre não da direito a fazer dan dan dan tá tá com a moto mas poderiam ter alertado pra parar com essa poluição sonora,NEGATIVO
